invoice_no,transaction_date,customer_id,description,category,order_city,state,order_postal,region,latitude,longitude,quantity,costs,profit_per_unit,baseline_shipping_cost,hypothesis_factor,hypothesis_shipping_costs,profit_before_shipping,profit_after_baseline,profit_after_hypothesis
536390,12/1/2020 10:19,17511,Dog and Puppy Pads,Disposables,dickinson,TX,77539-3312,Central,29.4608,-95.0513,11,5,9.3,40.0,0.3,16.5,102.3,62.3,85.8
536390,12/1/2020 10:19,17511,Earth Rated Dog Poop Bags,Disposables,dickinson,TX,77539-3312,Central,29.4608,-95.0513,17,4,4.9,48.8,0.3,20.4,83.3,34.5,62.9
536390,12/1/2020 10:19,17511,Rechargeable Pet Nail Grinder,Grooming,dickinson,TX,77539-3312,Central,29.4608,-95.0513,2,5,7.5,8.5,0.8,8.0,15.0,6.5,7.0
536392,12/1/2020 10:29,13705,Pet Odor Eliminator,Cleanig Supplies,washington,DC,20012,East,38.895,-77.0366,3,4,6.14,9.6,0.6,7.2,18.42,8.82,11.22
536394,12/1/2020 10:39,13408,Dog and Puppy Pads,Disposables,paso robles,CA,93446,West,35.6268,-120.6912,6,5,9.3,22.5,0.5,15.0,55.8,33.3,40.8
536395,12/1/2020 10:47,13767,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,Grooming,estero,FL,33967-0513,East,26.4381,-81.8068,2,5,15.7,8.5,0.8,8.0,31.4,22.9,23.4
536395,12/1/2020 10:47,13767,Pet Odor Eliminator,Cleanig Supplies,estero,FL,33967-0513,East,26.4381,-81.8068,6,4,6.14,18.0,0.5,12.0,36.84,18.84,24.84
536396,12/1/2020 10:51,17850,Dog and Puppy Pads,Disposables,heathsville,VA,22473-2244,East,37.9176,-76.4722,1,5,9.3,5,1.0,5,9.3,4.3,4.3
536398,12/1/2020 10:52,,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,Grooming,,,,,,,1,5,15.7,5,1.0,5,15.7,10.7,10.7
536401,12/1/2020 11:21,15862,Dog and Puppy Pads,Disposables,katonah,NY,10536-3204,East,41.2588,-73.6854,1,5,11.7,5,1.0,5,11.7,6.7,6.7
536401,12/1/2020 11:21,15862,Indoor Pet Camera (Wi-Fi),Electronics,katonah,NY,10536-3204,East,41.2588,-73.6854,1,7,-0.3,7,1.0,7,-0.3,-7.3,-7.3
536401,12/1/2020 11:21,15862,Pet Grooming Brush,Grooming,katonah,NY,10536-3204,East,41.2588,-73.6854,1,5,5.9,5,1.0,5,5.9,0.9,0.9
536402,12/1/2020 11:22,15513,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,Disposables,independence,MO,64057,Central,39.0911,-94.4155,7,9,6.3,46.8,0.5,31.5,44.1,-2.7,12.6
536404,12/1/2020 11:29,16218,Sheba Perfect Portions Pat Wet Cat Food,Food,alden,NY,14004-9493,East,42.9001,-78.492,6,2.5,2.6,11.25,0.5,7.5,15.6,4.35,8.1
536406,12/1/2020 11:33,17850,Dog and Puppy Pads,Disposables,heathsville,VA,22473-2244,East,37.9176,-76.4722,2,5,9.3,8.5,0.8,8.0,18.6,10.1,10.6
536408,12/1/2020 11:41,14307,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,Grooming,ringgold,GA,30736-4644,East,34.9159,-85.1091,1,5,15.7,5,1.0,5,15.7,10.7,10.7
536408,12/1/2020 11:41,14307,Pet Odor Eliminator,Cleanig Supplies,ringgold,GA,30736-4644,East,34.9159,-85.1091,2,4,6.14,6.8,0.8,6.4,12.28,5.48,5.88
536409,12/1/2020 11:45,17908,Earth Rated Dog Poop Bags,Disposables,virginia beach,VA,23455,East,36.853,-75.9774,1,4,6.7,4,1.0,4,6.7,2.7,2.7
536412,12/1/2020 11:49,17920,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,Disposables,windsor,VA,23487-8912,East,36.8085,-76.7441,1,9,8.7,9,1.0,9,8.7,-0.300000000000001,-0.300000000000001
536412,12/1/2020 11:49,17920,Pet Grooming Brush,Grooming,windsor,VA,23487-8912,East,36.8085,-76.7441,1,5,5.9,5,1.0,5,5.9,0.9,0.9
536412,12/1/2020 11:49,17920,Sheba Perfect Portions Pat Wet Cat Food,Food,windsor,VA,23487-8912,East,36.8085,-76.7441,1,2.5,2.6,2.5,1.0,2.5,2.6,0.1,0.1
536415,12/1/2020 11:57,12838,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,Disposables,hacienda heights,CA,91745-5934,West,33.9931,-117.9687,1,9,8.7,9,1.0,9,8.7,-0.300000000000001,-0.300000000000001
536425,12/1/2020 12:08,13758,ProBiotic Supplements for Dogs,Supplements,doral,FL,33178-2370,East,25.8195,-80.3553,2,7,7.7,11.9,0.8,11.2,15.4,3.5,4.2
536460,12/1/2020 12:22,14849,Pet Odor Eliminator,Cleanig Supplies,henderson,KY,42420-2725,Central,37.7672,-87.5574,4,4,6.14,12.4,0.6,9.6,24.56,12.16,14.96
536466,12/1/2020 12:23,14849,Rechargeable Pet Nail Grinder,Grooming,henderson,KY,42420-2725,Central,37.7672,-87.5574,1,5,10.5,5,1.0,5,10.5,5.5,5.5
536464,12/1/2020 12:23,17968,Earth Rated Dog Poop Bags,Disposables,bellevue,WA,98004-6725,West,47.6144,-122.1923,1,4,6.7,4,1.0,4,6.7,2.7,2.7
536464,12/1/2020 12:23,17968,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,Disposables,bellevue,WA,98004-6725,West,47.6144,-122.1923,1,9,8.7,9,1.0,9,8.7,-0.300000000000001,-0.300000000000001
536464,12/1/2020 12:23,17968,Pet Odor Eliminator,Cleanig Supplies,bellevue,WA,98004-6725,West,47.6144,-122.1923,2,4,6.14,6.8,0.8,6.4,12.28,5.48,5.88
,12/1/2020 12:23,17968,Rechargeable Pet Nail Grinder,Grooming,bellevue,WA,98004-6725,West,47.6144,-122.1923,1,5,10.5,5,1.0,5,10.5,5.5,5.5
536464,12/1/2020 12:23,17968,Sheba Perfect Portions Pat Wet Cat Food,Food,bellevue,WA,98004-6725,West,47.6144,-122.1923,1,2.5,2.6,2.5,1.0,2.5,2.6,0.1,0.1
536477,12/1/2020 12:27,16210,Canned Cat Food,Food,reno,NV,89521-8364,West,39.5293,-119.8137,80,9,8.34,506.7,0.3,216.0,667.2,160.5,451.2
536477,12/1/2020 12:27,16210,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,Food,reno,NV,89521-8364,West,39.5293,-119.8137,3,20,30.7,48.0,0.6,36.0,92.1,44.1,56.1
536488,12/1/2020 12:31,17897,Rechargeable Pet Nail Grinder,Grooming,sterling,VA,20164-2329,East,39.0016,-77.4032,2,5,10.5,8.5,0.8,8.0,21.0,12.5,13.0
536502,12/1/2020 12:36,16552,Dog and Puppy Pads,Disposables,troy,NY,12180-5425,East,42.7284,-73.6918,1,5,11.7,5,1.0,5,11.7,6.7,6.7
536502,12/1/2020 12:36,16552,Pet Odor Eliminator,Cleanig Supplies,troy,NY,12180-5425,East,42.7284,-73.6918,3,4,6.14,9.6,0.6,7.2,18.42,8.82,11.22
536502,12/1/2020 12:36,16552,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,Food,troy,NY,12180-5425,East,42.7284,-73.6918,1,20,41.5,20,1.0,20,41.5,21.5,21.5
536520,12/1/2020 12:43,14729,Sheba Perfect Portions Pat Wet Cat Food,Food,munster,IN,46321-3427,Central,41.5645,-87.5125,1,2.5,2.6,2.5,1.0,2.5,2.6,0.1,0.1
536522,12/1/2020 12:49,15012,Earth Rated Dog Poop Bags,Disposables,east boston,MA,02128-1968,East,42.3751,-71.0392,1,4,6.7,4,1.0,4,6.7,2.7,2.7
536525,12/1/2020 12:54,14078,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,Food,trinity,FL,34655-4974,East,,,1,20,41.5,20,1.0,20,41.5,21.5,21.5
536526,12/1/2020 12:58,14001,Earth Rated Dog Poop Bags,Disposables,ruskin,FL,33570-2802,East,27.7209,-82.4332,2,4,6.7,6.8,0.8,6.4,13.4,6.6,7.0
536528,12/1/2020 13:17,15525,Rechargeable Pet Nail Grinder,Grooming,montgomery city,MO,63361-4617,Central,38.9775,-91.5049,1,5,10.5,5,1.0,5,10.5,5.5,5.5
536528,12/1/2020 13:17,15525,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,Food,montgomery city,MO,63361-4617,Central,38.9775,-91.5049,1,20,41.5,20,1.0,20,41.5,21.5,21.5
536530,,17905,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,Food,virginia beach,VA,23453-6656,East,36.853,-75.9774,1,20,41.5,20,1.0,20,41.5,21.5,21.5
536531,12/1/2020 13:23,15485,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,Disposables,st louis park,MN,55416-2949,Central,44.9486,-93.365,14,9,6.3,90.9,0.3,37.8,88.2,-2.69999999999999,50.4
536532,12/1/2020 13:24,,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,Grooming,,,,,,,2,5,15.7,8.5,0.8,8.0,31.4,22.9,23.4
536532,12/1/2020 13:24,12433,Sheba Perfect Portions Pat Wet Cat Food,Food,phoenixville,PA,19460-6702,East,40.1304,-75.5149,12,2.5,2.6,21.75,0.3,9.0,31.2,9.45,22.2
536536,12/1/2020 13:45,18144,Pet Odor Eliminator,Cleanig Supplies,appleton,WI,54914-6428,Central,44.2611,-88.4068,14,4,6.14,40.4,0.3,16.8,85.96,45.56,69.16
536537,12/1/2020 13:51,15922,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,Food,londonderry,NH,3053,East,42.8651,-71.374,1,20,41.5,20,1.0,20,41.5,21.5,21.5
536539,12/1/2020 14:03,15165,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,Grooming,chevy chase,MD,20815-4261,East,38.9824,-77.0846,1,5,15.7,5,1.0,5,15.7,10.7,10.7
536539,12/1/2020 14:03,15165,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,Food,chevy chase,MD,20815-4261,East,38.9824,-77.0846,1,20,41.5,20,1.0,20,41.5,21.5,21.5
536542,12/1/2020 14:11,,Dog and Puppy Pads,Disposables,,,,,,,6,5,11.7,22.5,0.5,15.0,70.2,47.7,55.2
536542,12/1/2020 14:11,16456,Earth Rated Dog Poop Bags,Disposables,new york,NY,10128,East,40.7648,-73.9808,7,4,6.7,20.8,0.5,14.0,46.9,26.1,32.9
536542,12/1/2020 14:11,16456,Milk-Bone MaroSnacks Dog Treats with Real Bone,Food,new york,NY,10128,East,40.7648,-73.9808,5,6,3.7,22.8,0.5,15.0,18.5,-4.3,3.5
536544,12/1/2020 14:32,,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,Grooming,,,,,,,1,5,42.82,5,1.0,5,42.82,37.82,37.82
536544,12/1/2020 14:32,,Dog and Puppy Pads,Disposables,,,,,,,1,5,29.46,5,1.0,5,29.46,24.46,24.46
536544,12/1/2020 14:32,,Earth Rated Dog Poop Bags,Disposables,,,,,,,1,4,20.26,4,1.0,4,20.26,16.26,16.26
536544,12/1/2020 14:32,,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,Disposables,,,,,,,6,9,26.46,40.5,0.5,27.0,158.76,118.26,131.76
536544,12/1/2020 14:32,,Rechargeable Pet Nail Grinder,Grooming,,,,,,,2,5,35.82,8.5,0.8,8.0,71.64,63.14,63.64
536544,12/1/2020 14:32,,Sheba Perfect Portions Pat Wet Cat Food,Food,,,,,,,1,2.5,7.46,2.5,1.0,2.5,7.46,4.96,4.96
536544,12/1/2020 14:32,,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,Food,,,,,,,7,20,41.32,104.0,0.5,70.0,289.24,185.24,219.24
536557,12/1/2020 14:41,17841,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,Grooming,great falls,VA,22066-1101,East,38.9982,-77.2883,1,5,15.7,5,1.0,5,15.7,10.7,10.7
536557,12/1/2020 14:41,17841,NexGard Chew for Dogs,Food,great falls,VA,22066-1101,East,38.9982,-77.2883,1,7,8.7,7,1.0,7,8.7,1.7,1.7
536557,12/1/2020 14:41,17841,ProBiotic Supplements for Dogs,Supplements,great falls,VA,22066-1101,East,38.9982,-77.2883,4,7,3.5,21.7,0.6,16.8,14.0,-7.7,-2.8
536560,12/1/2020 15:00,13093,ProBiotic Supplements for Dogs,Supplements,pomona,CA,91766-1941,West,34.0554,-117.7517,8,7,3.5,41.3,0.4,22.4,28.0,-13.3,5.6
536560,12/1/2020 15:00,13093,Rechargeable Pet Nail Grinder,Grooming,pomona,CA,91766-1941,West,34.0554,-117.7517,2,5,7.5,8.5,0.8,8.0,15.0,6.5,7.0
536562,12/1/2020 15:08,13468,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,Food,torrance,CA,90505,West,33.8358,-118.3406,1,20,41.5,20,1.0,20,41.5,21.5,21.5
536569,12/1/2020 15:35,16274,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,Disposables,brooklyn,NY,11226-1152,East,40.6922,-73.9902,1,9,8.7,9,1.0,9,8.7,-0.300000000000001,-0.300000000000001
536575,12/1/2020 16:01,13777,Dog and Puppy Pads,Disposables,fort myers,FL,33905-7699,East,26.6406,-81.8723,22,5,9.3,78.5,0.3,33.0,204.6,126.1,171.6
536576,12/1/2020 16:11,13777,Dog and Puppy Pads,Disposables,fort myers,FL,33905-7699,East,26.6406,-81.8723,22,5,9.3,78.5,0.3,33.0,204.6,126.1,171.6
536576,12/1/2020 16:11,13777,Earth Rated Dog Poop Bags,Disposables,fort myers,FL,33905-7699,East,26.6406,-81.8723,5,4,4.9,15.2,0.5,10.0,24.5,9.3,14.5
536577,12/1/2020 16:13,13777,Pet Grooming Brush,Grooming,fort myers,FL,33905-7699,East,26.6406,-81.8723,10,5,4.7,36.5,0.3,15.0,47.0,10.5,32.0
536581,12/1/2020 16:19,13777,Earth Rated Dog Poop Bags,Disposables,fort myers,FL,33905-7699,East,26.6406,-81.8723,34,4,4.9,96.4,0.3,40.8,166.6,70.2,125.8
536587,12/1/2020 16:33,14142,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,Grooming,miami beach,FL,33140-4527,East,25.7881,-80.1273,1,5,15.7,5,1.0,5,15.7,10.7,10.7
536588,12/1/2020 16:49,17069,Rechargeable Pet Nail Grinder,Grooming,plum,PA,15239-2229,East,40.5003,-79.7495,1,5,10.5,5,1.0,5,10.5,5.5,5.5
536590,12/1/2020 16:52,13065,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,Grooming,palm springs,CA,92262-0529,West,33.8246,-116.5403,1,5,15.7,5,1.0,5,15.7,10.7,10.7
,12/1/2020 16:52,13065,Dog and Puppy Pads,Disposables,palm springs,CA,92262-0529,West,33.8246,-116.5403,1,5,11.7,5,1.0,5,11.7,6.7,6.7
536591,12/1/2020 16:57,14606,Milk-Bone MaroSnacks Dog Treats with Real Bone,Food,skokie,IL,60076-2832,Central,42.0334,-87.7334,1,6,3.7,6,1.0,6,3.7,-2.3,-2.3
536592,12/1/2020 17:06,,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,Grooming,,,,,,,1,5,42.82,5,1.0,5,42.82,37.82,37.82
536592,12/1/2020 17:06,,Dog and Puppy Pads,Disposables,,,,,,,2,5,29.46,8.5,0.8,8.0,58.92,50.42,50.92
536592,12/1/2020 17:06,,Earth Rated Dog Poop Bags,Disposables,,,,,,,1,4,20.26,4,1.0,4,20.26,16.26,16.26
536592,12/1/2020 17:06,,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,Disposables,,,,,,,4,9,26.46,27.9,0.6,21.6,105.84,77.94,84.24
,12/1/2020 17:06,,Milk-Bone MaroSnacks Dog Treats with Real Bone,Food,,,,,,,1,6,17.26,6,1.0,6,17.26,11.26,11.26
536592,12/1/2020 17:06,,Pet Grooming Brush,Grooming,,,,,,,1,5,21.26,5,1.0,5,21.26,16.26,16.26
536592,12/1/2020 17:06,,Pet Odor Eliminator,Cleanig Supplies,,,,,,,2,4,15.14,6.8,0.8,6.4,30.28,23.48,23.88
536592,12/1/2020 17:06,,Sheba Perfect Portions Pat Wet Cat Food,Food,,,,,,,6,2.5,7.46,11.25,0.5,7.5,44.76,33.51,37.26
536592,12/1/2020 17:06,,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,Food,,,,,,,8,20,41.32,118.0,0.4,64.0,330.56,212.56,266.56
536595,12/1/2020 17:24,13576,Canned Cat Food,Food,colorado springs,CO,80917-3544,Central,38.834,-104.8253,10,9,8.34,65.7,0.3,27.0,83.4,17.7,56.4
536596,12/1/2020 17:29,,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,Grooming,,,,,,,1,5,15.7,5,1.0,5,15.7,10.7,10.7
536597,12/1/2020 17:35,18011,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,Disposables,fircrest,WA,98466,West,47.2317,-122.5143,1,9,8.7,9,1.0,9,8.7,-0.300000000000001,-0.300000000000001
536597,12/1/2020 17:35,,Sheba Perfect Portions Pat Wet Cat Food,Food,,,,,,,1,2.5,2.6,2.5,1.0,2.5,2.6,0.1,0.1
536600,12/2/2020 8:32,17850,Dog and Puppy Pads,Disposables,heathsville,VA,22473-2244,East,37.9176,-76.4722,1,5,9.3,5,1.0,5,9.3,4.3,4.3
536602,12/2/2020 8:34,17850,Dog and Puppy Pads,Disposables,heathsville,VA,22473-2244,East,37.9176,-76.4722,1,5,9.3,5,1.0,5,9.3,4.3,4.3
536607,12/2/2020 9:29,17732,Dog and Puppy Pads,Disposables,midvale,UT,84047,West,40.6111,-111.8999,1,5,11.7,5,1.0,5,11.7,6.7,6.7
536607,,17732,Earth Rated Dog Poop Bags,Disposables,midvale,UT,84047,West,40.6111,-111.8999,2,4,6.7,6.8,0.8,6.4,13.4,6.6,7.0
536607,12/2/2020 9:29,17732,Milk-Bone MaroSnacks Dog Treats with Real Bone,Food,midvale,UT,84047,West,40.6111,-111.8999,2,6,3.7,10.2,0.8,9.6,7.4,-2.8,-2.2
536607,12/2/2020 9:29,17732,Pet Odor Eliminator,Cleanig Supplies,midvale,UT,84047,West,40.6111,-111.8999,2,4,6.14,6.8,0.8,6.4,12.28,5.48,5.88
536607,12/2/2020 9:29,17732,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,Food,midvale,UT,84047,West,40.6111,-111.8999,1,20,41.5,20,1.0,20,41.5,21.5,21.5
536609,12/2/2020 9:41,17850,Dog and Puppy Pads,Disposables,heathsville,VA,22473-2244,East,37.9176,-76.4722,1,5,9.3,5,1.0,5,9.3,4.3,4.3
536612,,17850,Dog and Puppy Pads,Disposables,heathsville,VA,22473-2244,East,37.9176,-76.4722,1,5,9.3,5,1.0,5,9.3,4.3,4.3
536616,12/2/2020 10:10,17925,Canned Cat Food,Food,yorktown,VA,23692-4087,East,37.2379,-76.5081,12,9,8.34,78.3,0.3,32.4,100.08,21.78,67.68
536617,12/2/2020 10:17,13941,ProBiotic Supplements for Dogs,Supplements,orlando,FL,32825,East,28.5421,-81.379,4,7,3.5,21.7,0.6,16.8,14.0,-7.7,-2.8
536618,12/2/2020 10:17,17017,Sheba Perfect Portions Pat Wet Cat Food,Food,new castle,PA,16105-4915,East,41.0037,-80.347,8,2.5,2.6,14.75,0.4,8.0,20.8,6.05,12.8
536619,12/2/2020 10:18,17017,Rechargeable Pet Nail Grinder,Grooming,new castle,PA,16105-4915,East,41.0037,-80.347,2,5,7.5,8.5,0.8,8.0,15.0,6.5,7.0
536627,12/2/2020 10:53,15658,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,Food,chocowinity,NC,27817-9469,East,35.5126,-77.1009,1,20,41.5,20,1.0,20,41.5,21.5,21.5
536628,12/2/2020 10:54,17850,Dog and Puppy Pads,Disposables,heathsville,VA,22473-2244,East,37.9176,-76.4722,1,5,9.3,5,1.0,5,9.3,4.3,4.3
536630,12/2/2020 10:56,17850,Dog and Puppy Pads,Disposables,heathsville,VA,22473-2244,East,37.9176,-76.4722,1,5,9.3,5,1.0,5,9.3,4.3,4.3
,12/2/2020 11:02,14388,Earth Rated Dog Poop Bags,Disposables,new plymouth,ID,83655-5204,West,43.9699,-116.819,2,4,6.7,6.8,0.8,6.4,13.4,6.6,7.0
536633,12/2/2020 11:20,14901,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,Disposables,baton rouge,LA,70817,Central,30.4507,-91.1546,2,9,8.7,15.3,0.8,14.4,17.4,2.1,3.0
536633,12/2/2020 11:20,14901,Rechargeable Pet Nail Grinder,Grooming,baton rouge,LA,70817,Central,30.4507,-91.1546,1,5,10.5,5,1.0,5,10.5,5.5,5.5
536635,12/2/2020 11:22,15955,Indoor Pet Camera (Wi-Fi),Electronics,bedminster,NJ,07921-2577,East,40.6807,-74.6454,2,7,-0.3,11.9,0.8,11.2,-0.6,-12.5,-11.8
536636,12/2/2020 11:23,,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,Disposables,,,,,,,6,9,8.7,40.5,0.5,27.0,52.2,11.7,25.2
536637,12/2/2020 11:35,18041,Rechargeable Pet Nail Grinder,Grooming,lynnwood,WA,98087-8427,West,47.8279,-122.3054,1,5,10.5,5,1.0,5,10.5,5.5,5.5
536637,12/2/2020 11:35,18041,Sheba Perfect Portions Pat Wet Cat Food,Food,lynnwood,WA,98087-8427,West,47.8279,-122.3054,1,2.5,2.6,2.5,1.0,2.5,2.6,0.1,0.1
536638,12/2/2020 11:41,16244,Indoor Pet Camera (Wi-Fi),Electronics,bronx,NY,10456-5747,East,40.8262,-73.9231,1,7,-0.3,7,1.0,7,-0.3,-7.3,-7.3
536643,12/2/2020 11:57,14390,Earth Rated Dog Poop Bags,Disposables,rathdrum,ID,83858-8514,West,47.8124,-116.8966,1,4,6.7,4,1.0,4,6.7,2.7,2.7
536667,12/2/2020 12:09,15260,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,Disposables,rangeley,ME,04970-4257,East,44.9664,-70.6428,2,9,8.7,15.3,0.8,14.4,17.4,2.1,3.0
536667,12/2/2020 12:09,15260,ProBiotic Supplements for Dogs,Supplements,rangeley,ME,04970-4257,East,44.9664,-70.6428,1,7,7.7,7,1.0,7,7.7,0.7,0.7
536667,12/2/2020 12:09,15260,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,Food,rangeley,ME,04970-4257,East,44.9664,-70.6428,1,20,41.5,20,1.0,20,41.5,21.5,21.5
536681,12/2/2020 12:22,17287,Pet Odor Eliminator,Cleanig Supplies,georgetown,TX,78628,Central,30.6327,-97.6772,2,4,6.14,6.8,0.8,6.4,12.28,5.48,5.88
536681,12/2/2020 12:22,17287,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,Food,georgetown,TX,78628,Central,30.6327,-97.6772,1,20,41.5,20,1.0,20,41.5,21.5,21.5
536685,12/2/2020 12:23,17850,Dog and Puppy Pads,Disposables,heathsville,VA,22473-2244,East,37.9176,-76.4722,2,5,9.3,8.5,0.8,8.0,18.6,10.1,10.6
536690,12/2/2020 12:25,17850,Dog and Puppy Pads,Disposables,heathsville,VA,22473-2244,East,37.9176,-76.4722,1,5,9.3,5,1.0,5,9.3,4.3,4.3
536707,12/2/2020 12:33,12915,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,Food,long beach,CA,90803-4434,West,33.7775,-118.1885,1,20,41.5,20,1.0,20,41.5,21.5,21.5
536732,12/2/2020 12:47,15544,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,Disposables,saint louis,MO,63124-1601,Central,38.63,-90.19,1,9,8.7,9,1.0,9,8.7,-0.300000000000001,-0.300000000000001
,12/2/2020 12:47,15544,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,Food,saint louis,MO,63124-1601,Central,38.63,-90.19,1,20,41.5,20,1.0,20,41.5,21.5,21.5
536741,12/2/2020 13:11,13117,Pet Odor Eliminator,Cleanig Supplies,redondo beach,CA,90278-3725,West,33.8456,-118.3887,2,4,6.14,6.8,0.8,6.4,12.28,5.48,5.88
536742,12/2/2020 13:14,16916,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,Disposables,croydon,PA,19021-6909,East,40.0873,-74.9035,1,9,8.7,9,1.0,9,8.7,-0.300000000000001,-0.300000000000001
536749,12/2/2020 13:49,17976,Dog and Puppy Pads,Disposables,bellingham,WA,98226-9441,West,48.7544,-122.4789,1,5,11.7,5,1.0,5,11.7,6.7,6.7
536749,,17976,Pet Odor Eliminator,Cleanig Supplies,bellingham,WA,98226-9441,West,48.7544,-122.4789,1,4,6.14,4,1.0,4,6.14,2.14,2.14
,12/2/2020 14:04,17850,Dog and Puppy Pads,Disposables,heathsville,VA,22473-2244,East,37.9176,-76.4722,2,5,9.3,8.5,0.8,8.0,18.6,10.1,10.6
